date,hfq_factor,hfq_one_point
2023-05-05,10.2478687107673,1.1174168297455878
2022-09-27,9.1710348707568,1.0254237288135626
2022-06-02,8.943653840903298,1.0873808063346913
2021-07-23,8.2249509912266,1.0090859030836994
2020-07-27,8.150892769477501,1.0047021943573646
2014-06-18,8.1127450654082,1.0136612021858
2013-08-05,8.0034088785428,2.052310374891027
2012-06-29,3.8997068749739,1.0147856086742135
2011-05-24,3.8428874450326,1.0106082036775026
2010-06-08,3.8025492283248,1.0095785440613076
2006-09-21,3.766471911168,1.8181819999999698
2006-07-27,2.0715593439865,1.3400000000000427
2006-06-22,1.5459398089451,1.5022058823528786
2005-06-27,1.0291131376238,1.019033674963447
2004-05-31,1.0098911968348,1.0098911968348
2003-07-31,1.0,1.0
1900-01-01,1.0,1.0
