date,hfq_factor
2023-06-21,4.8673770679840000
2022-07-14,4.8387454381723000
2021-07-16,4.7998331306679000
2018-05-25,4.7935440411361000
2017-05-26,4.7875220008834000
2016-06-16,4.7829362518404000
2015-05-28,4.7802015827428000
2014-06-27,4.7784219097782000
2011-05-26,4.7700582774974000
2010-10-22,4.7381870640620000
2010-05-07,4.3833781459936000
2008-04-29,4.3438526442263000
2006-06-02,2.1582749938786000
2005-12-29,2.1455041359267000
2005-05-26,1.6253819211566000
2004-05-24,1.6062597809077000
2003-06-03,1.0000000000000000
1900-01-01,1.0000000000000000
