date,hfq_factor,hfq_one_point
2023-06-21,8.1832150057812,1.003049625727755
2022-07-06,8.1583351370516,1.0015351550506582
2020-05-28,8.145830024947,1.0051635111876025
2019-06-20,8.1039850076956,1.0054967153774044
2015-07-02,8.0596832229868,1.4032307692307535
2006-07-07,5.743661983271,1.40000000000001
2006-03-24,4.1026157023364,1.3199999999999987
2003-06-24,3.1080421987397,1.0088028169014027
2001-07-11,3.0809214116652,1.0052089105618953
2001-03-15,3.0649563282751,1.046577487442098
2000-05-30,2.9285517460977,1.8
1997-06-11,1.6269731922765,1.2000000000000444
1995-06-27,1.3558109935637,1.0239234449760588
1995-01-17,1.3241331666113,1.08927942353884
1994-05-17,1.2156046814044,1.2156046814044
1993-10-08,1.0,1.0
1900-01-01,1.0,1.0
