date,hfq_factor
2020-05-15,5.8761927747633000
2008-07-04,5.8660962236039000
2006-03-28,5.3062392599498000
2005-05-24,4.0128658697559000
2004-06-10,3.7748548454525000
2003-07-08,3.6568433512860000
2002-06-25,3.5447357448962000
2001-05-09,3.4672415219824000
2001-02-16,2.3320585401105000
2000-06-19,2.2360397170422000
1999-07-19,2.1968499594160000
1998-07-06,2.1559076012799000
1997-12-02,2.1117709102301000
1997-07-31,1.1732060612389000
1996-08-01,1.1522184751703000
1995-07-18,1.1262611127759000
1994-07-01,1.0000000000000000
1900-01-01,1.0000000000000000
