date,hfq_factor
2020-06-09,6.3647687659775000
2018-06-14,6.3611592562803000
2016-07-07,6.3577514923930000
2015-06-26,6.3481999408552000
2014-06-27,6.3439202555018000
2013-06-18,6.3262491684391000
2012-04-23,6.2743710431398000
2010-11-10,3.8879649626294000
2009-07-08,2.5827906642866000
2007-01-05,2.1139717439173000
2006-06-16,1.6515404249354000
2005-07-15,1.6444522686052000
2003-10-23,1.6329122526852000
2002-07-15,1.0205701579282000
2001-07-18,1.0166144596417000
2000-07-03,1.0133350581590000
1997-07-07,1.0101010101010000
1996-06-26,1.0000000000000000
1900-01-01,1.0000000000000000
