date,hfq_factor
2023-06-21,5.5910321699648000
2022-07-07,5.5451215570956000
2021-07-15,5.5166214909921000
2020-06-19,5.4907825144535000
2019-06-21,5.2595179031236000
2018-06-08,5.1707912655826000
2017-06-09,5.0919147886500000
2016-05-17,5.0281329750135000
2015-06-17,4.9674718533310000
2014-07-28,4.9489977844550000
2013-06-28,4.9005257199647000
2012-05-28,4.8205823966374000
2011-06-14,4.7619378419338000
2009-06-18,4.7165428196084000
2007-05-10,4.6575368627326000
2006-06-29,2.9025082728339000
2006-03-03,2.8446509650697000
2005-09-30,2.1881930500536000
2005-07-04,1.3676206562835000
2004-12-09,1.3547992126309000
2004-06-21,1.3346784322453000
2003-07-23,1.3243106557131000
2002-10-15,1.3154622548954000
2002-07-08,1.0118940422272000
2001-07-10,1.0024863252113000
2001-02-08,1.0000000000000000
1900-01-01,1.0000000000000000
