date,hfq_factor,hfq_one_point
2023-05-25,14.151854880272,1.013602015113346
2022-06-23,13.9619443028529,1.052220595412395
2021-05-20,13.2690277720527,1.0467517837025944
2020-05-20,12.6763841998121,1.0406272273699255
2019-05-30,12.1814842687235,1.2345308805720467
2018-07-18,9.8672981457369,1.0312458093066987
2017-06-14,9.568327993856899,1.0170518480048458
2016-06-15,9.4079058138748,1.820446312776688
2015-06-05,5.1679117081597,1.006648969161695
2014-06-12,5.1337773806726,1.0138192491133717
2013-05-24,5.0637994742774,1.0140432497630665
2012-05-22,4.9936720898843,1.0123456790123375
2011-06-21,4.9327736497638,1.011135857461027
2010-06-24,4.8784479487752,1.0077936038699287
2009-07-02,4.840721284638,1.0042228478293165
2008-07-03,4.8203656141677,1.0059432093330343
2007-07-26,4.791886430014,1.0023393917581431
2006-07-17,4.7807024940014,1.0079155672823208
2006-01-06,4.7431577100171,1.3500000000000087
2005-07-11,3.5134501555682,1.0113122171945683
2004-07-20,3.4741498182576,1.006749156355465
2003-07-09,3.4508594284145,1.0037622272385283
2001-08-21,3.4379251726858,1.0052938062466659
1999-07-07,3.4198213013184,1.4000000000000081
1996-12-31,2.4427295009417,1.400000000000023
1996-11-08,1.7448067863869,1.255809641532726
1996-07-15,1.3893879523471,1.0100306492059155
1995-05-10,1.3755898926824,1.0206240084611597
1994-11-07,1.3477929984779,1.0159817351598142
1993-12-20,1.3265917602996,1.3265917602996
1993-06-28,1.0,1.0
1900-01-01,1.0,1.0
