date,hfq_factor,hfq_one_point
2023-07-14,8.9728584106808,1.0669456066945648
2022-07-08,8.4098555300106,1.0554621848739523
2021-06-02,7.967936369994099,1.0640809443507615
2020-05-29,7.4880923413732,1.0636515912897795
2019-06-20,7.0399860280312,1.3497702909647866
2018-06-29,5.2156919404406,1.2326086956521778
2017-06-26,4.2314255601458,1.0185185185185015
2016-06-17,4.1544905499614,1.4228384991843692
2015-07-03,2.9198609345635,1.0114713216957367
2014-06-19,2.886746140927,1.0283590308370252
2013-06-28,2.8071384160232,1.1073235685752196
2012-06-28,2.5350660779623,1.1047443006777815
2011-07-07,2.2947084464767,1.0061906727197545
2010-07-07,2.2805900598085,1.00247524752474
2009-06-11,2.2749589732411,1.499999999999967
2008-06-24,1.5166393154941,1.0188679245283083
2007-06-26,1.4885534022442,1.0068027210884307
2006-06-29,1.4784956089858,1.0148987648032923
2006-01-11,1.4567912192428,1.3099999999999983
2005-06-29,1.1120543658342,1.0539940828402792
2004-06-10,1.0550859667423,1.011388286333967
2003-07-09,1.0432056421839,1.011813607525731
2002-07-12,1.0310255114427,1.013071895424879
2001-06-22,1.0177219564563,1.0069864927806351
2000-06-29,1.0106609808102,1.0106609808102
1999-07-21,1.0,1.0
1900-01-01,1.0,1.0
