date,hfq_factor
2022-05-13,4.8975228938668000
2021-05-12,4.7607205783957000
2020-06-15,4.7518053713200000
2019-05-24,4.7376208776743000
2018-06-07,4.7216154017362000
2017-06-07,4.7082397207114000
2016-05-12,4.6767113297245000
2015-05-12,4.6411920031697000
2011-07-12,4.6199670397405000
2008-04-25,3.5284665491479000
2006-06-08,2.9288729079632000
2005-06-20,2.1857260507188000
2004-06-11,2.1047732340255000
2003-06-19,2.0699835937937000
2002-06-14,2.0536330124841000
2001-06-07,2.0355233739261000
2000-06-13,1.0124275062138000
1999-10-21,1.0000000000000000
1900-01-01,1.0000000000000000
