date,hfq_factor
2023-08-11,6.1286510534515000
2022-07-13,6.0012236589245000
2021-07-07,5.8301040332304000
2020-08-05,5.6530765828286000
2019-12-13,5.5307912426562000
2018-08-15,5.4504602151667000
2017-07-05,5.2862897267580000
2016-08-24,5.1774543500306000
2015-05-08,4.9458009115505000
2014-07-09,4.9095812051313000
2013-07-11,4.8096914552812000
2012-07-05,4.7471738020496000
2011-06-22,2.3337348711218000
2010-05-07,2.3004907846386000
2001-07-31,2.1949152552839000
2000-06-06,2.1629814736842000
1999-04-29,1.4419876491228000
1999-01-27,1.2070175438596000
1997-06-11,1.0000000000000000
1900-01-01,1.0000000000000000
