date,hfq_factor,hfq_one_point
2018-07-18,8.074269769982099,1.0146993318485622
2017-07-14,7.957302736439699,1.0097316425833007
2016-07-07,7.880611442543,1.0087336244541563
2015-06-30,7.812381040443,1.0042523033309656
2014-06-24,7.7793010924948,1.0068399452804349
2013-07-04,7.7264525796382,1.0040518638573825
2010-06-07,7.6952723835944,1.0044101433296526
2009-05-11,7.661484140417299,1.8000000000000045
2008-06-04,4.2563800780096,1.1015273535129155
2007-09-06,3.8640711594092,2.0
2006-07-06,1.9320355797046,1.3499999999999546
1997-05-14,1.4311374664479,1.0130208333333355
1995-07-19,1.4127423833316,1.04021739130434
1995-05-15,1.3581222493888,1.0355555555555815
1994-06-20,1.3114914425428,1.3114914425428
1994-01-03,1.0,1.0
1900-01-01,1.0,1.0
