date,hfq_factor,hfq_one_point
2023-06-30,7.8746034411788,1.0027120134867697
2022-06-02,7.8533051716376,1.005253443135032
2021-06-29,7.812263887548499,1.0016977928692656
2020-06-30,7.7990227623154,1.0029291154071531
2019-07-01,7.7762452425656,1.0054221533694752
2019-04-15,7.734308634940099,1.1253731343283628
2018-07-04,6.8726615191112,1.0029368575624138
2017-06-29,6.8525365951899,1.0027472527472476
2016-07-04,6.8337625223264,1.0017406440382859
2015-07-15,6.8218880435735,1.0027359781121843
2014-05-13,6.8032744336319,1.004739336492895
2013-06-24,6.7711835164921,1.0048543689320333
2012-04-27,6.7384724850115,1.0105485232067488
2011-05-24,6.6681335237901,1.3016438671111663
2010-06-29,5.1228555615517,1.006476683937825
2008-05-09,5.0898899530475,1.9999999999999605
2006-06-09,2.5449449765238,1.2500000000000246
2005-10-28,2.035955981219,2.0
2005-07-11,1.0179779906095,1.004208754208733
2004-06-16,1.0137115279498,1.0074962518740411
2002-07-10,1.0061690314621,1.0061690314621
2001-03-16,1.0,1.0
1900-01-01,1.0,1.0
