Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1699367400,0,"2023-11-07 14:30:00",179.179992,179.710006,179.009994,179.029998,4769147
1699367700,0,"2023-11-07 14:35:00",179.044998,179.800003,179.039993,179.675003,1143727
1699368000,0,"2023-11-07 14:40:00",179.675003,180,179.669998,179.731903,1959622
1699368300,0,"2023-11-07 14:45:00",179.729995,179.729995,179.080001,179.410003,999344
1699368600,0,"2023-11-07 14:50:00",179.399993,180.024993,179.380004,180.024993,909945
1699368900,0,"2023-11-07 14:55:00",180.029998,180.529998,180.020004,180.195007,1412302
1699369200,0,"2023-11-07 15:00:00",180.190002,180.619995,180.190002,180.574996,960518
1699369500,0,"2023-11-07 15:05:00",180.570007,180.679992,180.229995,180.259994,877473
1699369800,0,"2023-11-07 15:10:00",180.255004,180.419998,180.233505,180.289993,810938
1699370100,0,"2023-11-07 15:15:00",180.279998,180.440002,180.139999,180.350006,739926
1699370400,0,"2023-11-07 15:20:00",180.339996,180.550003,180.2108,180.544998,921497
1699370700,0,"2023-11-07 15:25:00",180.539993,180.820007,180.520004,180.710006,764235
1699371000,0,"2023-11-07 15:30:00",180.695007,180.990005,180.684997,180.919998,950491
1699371300,0,"2023-11-07 15:35:00",180.910003,180.990005,180.690002,180.759994,809422
1699371600,0,"2023-11-07 15:40:00",180.764999,180.910003,180.645004,180.794998,508572
1699371900,0,"2023-11-07 15:45:00",180.804992,180.809906,180.529998,180.706802,576487
1699372200,0,"2023-11-07 15:50:00",180.705001,180.919998,180.660003,180.882003,574165
1699372500,0,"2023-11-07 15:55:00",180.875,181.240005,180.869995,181.214996,1240139
1699372800,0,"2023-11-07 16:00:00",181.214996,181.339996,181.080001,181.309997,693851
1699373100,0,"2023-11-07 16:05:00",181.309997,181.440002,181.229995,181.291397,529247
1699373400,0,"2023-11-07 16:10:00",181.294998,181.445007,181.179992,181.4001,499045
1699373700,0,"2023-11-07 16:15:00",181.408004,181.434997,181.175003,181.259994,449933
1699374000,0,"2023-11-07 16:20:00",181.264999,181.414993,181.255004,181.390304,456087
1699374300,0,"2023-11-07 16:25:00",181.393005,181.595001,181.393005,181.455001,902638
1699374600,0,"2023-11-07 16:30:00",181.455001,181.559997,181.199996,181.552093,516501
1699374900,0,"2023-11-07 16:35:00",181.550003,181.600006,181.429992,181.570297,484133
1699375200,0,"2023-11-07 16:40:00",181.574996,181.639999,181.350006,181.36,437877
1699375500,0,"2023-11-07 16:45:00",181.369903,181.395004,181.179992,181.289993,578385
1699375800,0,"2023-11-07 16:50:00",181.300003,181.429992,181.240005,181.419998,351963
1699376100,0,"2023-11-07 16:55:00",181.429901,181.570007,181.372695,181.470001,387727
1699376400,0,"2023-11-07 17:00:00",181.479995,181.490005,181.080093,181.139999,636018
1699376700,0,"2023-11-07 17:05:00",181.149993,181.330001,181.080001,181.285003,427664
1699377000,0,"2023-11-07 17:10:00",181.289993,181.339996,181.240005,181.335006,289319
1699377300,0,"2023-11-07 17:15:00",181.339996,181.339996,180.520004,181.132797,2209822
1699377600,0,"2023-11-07 17:20:00",181.130096,181.399993,181.059997,181.140106,795621
1699377900,0,"2023-11-07 17:25:00",181.139999,181.220001,181.089996,181.175003,378390
