date,hfq_factor
2023-06-08,7.4699881773640000
2022-04-12,7.1948656238460000
2021-06-11,5.8869060836368000
2020-07-09,5.7402223772339000
2015-09-15,5.6875597866171000
2014-07-11,5.6481995112772000
2013-05-28,5.6152973782018000
2012-07-10,5.5525566253727000
2011-06-15,5.4860589412365000
2011-01-19,3.6388449039475000
2010-05-21,3.2831930943309000
2009-06-26,3.2179468086725000
2008-06-06,3.1823500519394000
2006-04-06,3.1238509701023000
2006-03-14,2.2969492427223000
2000-06-22,2.2218855419797000
1999-08-26,2.1823502120512000
1998-06-19,1.9791545807606000
1997-07-10,1.9445841950705000
1997-05-06,1.7000000000000000
1996-03-08,1.0000000000000000
1900-01-01,1.0000000000000000
