date,hfq_factor
2023-05-18,4.8288576280850000
2022-06-02,4.4327137208305000
2021-06-11,4.1809793613759000
2020-06-24,4.0353731149598000
2019-06-20,3.8545620996256000
2018-06-22,3.6984583385816000
2017-07-07,3.6179111515344000
2015-06-26,3.5613812897917000
2014-06-20,3.5514665311898000
2013-04-22,3.4996569017936000
2012-05-24,3.4607718251070000
2011-05-26,3.4342525007767000
2010-05-24,3.4137983465136000
2009-05-21,3.3940539951746000
2008-04-23,1.6882929420156000
2007-05-28,1.6675267311667000
2006-05-16,1.6441533088235000
2006-01-13,1.3788970588235000
2005-06-17,1.0367647058824000
2004-06-02,1.0000000000000000
1900-01-01,1.0000000000000000
