date,hfq_factor
2023-06-01,6.8396029134535000
2022-06-01,6.6208702249544000
2021-05-27,6.1610875704436000
2020-05-18,5.8543477909763000
2019-05-29,5.5833131710237000
2018-05-11,4.0523802777584000
2017-06-29,3.9472406856742000
2016-05-19,3.8375951110721000
2015-05-21,3.7739534011041000
2014-06-06,2.4733735232217000
2013-06-19,2.3924561778601000
2012-05-10,2.3681178647587000
2011-05-17,2.3171484405172000
2006-08-09,2.3056059825321000
2004-05-19,1.7735430634862000
2003-07-08,1.7565510341355000
2002-05-17,1.7450380591926000
2001-04-26,1.7325912827362000
2000-06-08,1.7140806921087000
1999-12-29,1.6953816300129000
1998-04-22,1.7000000000000000
1997-09-23,1.0000000000000000
1900-01-01,1.0000000000000000
