date,hfq_factor
2022-06-21,12.7799190630668990
2020-06-16,12.7478087136622000
2019-06-19,12.7330102624191000
2018-08-08,12.7083338859416000
2017-08-09,12.6613819134566000
2016-08-18,12.6370665023744980
2015-08-19,12.6133545674363020
2014-08-27,12.5997135927779010
2013-08-12,12.5785908541479010
2012-07-12,12.5050049478714000
2011-07-18,12.4167862180804000
2010-07-02,12.3284733715791000
2009-07-14,10.2190346866543000
2008-07-02,6.7724213398927000
2007-08-01,4.5149475599284000
2006-10-17,4.5105674729415000
2006-10-13,4.0081245139303000
2005-07-18,3.9318108849399000
2002-08-12,3.1764120523276000
2001-05-29,3.1702242366412000
1998-05-20,2.1099952290076000
1996-06-04,1.2411736641221000
1995-12-07,1.1283396946565000
1994-02-04,1.0000000000000000
1900-01-01,1.0000000000000000
