date,hfq_factor
2023-06-26,8.3501154023106000
2022-06-23,8.2531880094205000
2021-06-18,8.1858150460783000
2020-06-19,8.0637115996868990
2019-06-19,8.0331208880037000
2018-06-15,7.9955390358960990
2017-06-16,7.9442197866284000
2016-06-22,7.8734787377716000
2015-06-17,7.8475791366604990
2014-06-16,7.8426759319515010
2013-06-14,7.7875105678346000
2013-05-10,7.2545523644281000
2012-05-24,7.1857888349075000
2011-04-19,7.1347171303239000
2010-09-15,3.2367314998457000
2009-06-15,3.2203222146754000
2008-05-12,3.2035497031406000
2007-05-29,3.1873291983146000
2006-06-26,3.1784902376981000
2006-03-27,2.6237537339489000
2004-03-03,2.0182721030376000
2003-07-03,1.0067114093960000
2002-12-19,1.0000000000000000
1900-01-01,1.0000000000000000
